"email_hash","category"
"b9f6f22276c919da793da65c76345ebb0b072257d12402107d09c89bc369a6b6","Purses"
"c2b5fa9e09ef2464a2b9ed7e351a5e1499823083c057913c6995fdf4335c73e7","Watches"
"faaee0ff7d06b05313ecb75d46a9aed014b11023ca1af5ec21a0607848071d18","Satchels"
"5cd72da5035f2b36b604a16efc639cd04b6cfae7e487dcba60db88d3ef870f1e","Satchels"
"00449a86bb34e443a5f84635661f63514574a030a15e2e57b81b2c3f4fa49650","Watches"
"b6161d458c4cc28331291235d05b3e458918d2ed21abfc4b86e4bac047b5553c","Purses"
"e088d5dbbca4c61e870dd32e2584623da88870327f060bd0d27465136366f353","Satchels"
"4727745894cc3d99632c89a64067f69327913989cddb9e2de5793d4de12ef4ef","Wallets"
"1ed6083eb9dc193dcd42466b57adce9f581cd70207426a37036a5dda3b3ad55a","Wallets"
"2c3d6ecd8ee8dec11e97c6ca5fb4390ab6b2a48c7f0983f49e80544320878246","Wallets"
"4a4bfb8d5cd78831438ec6b6a113e35af90c5c5a762fd12af8364b502a09bfc4","Purses"
"bf3d5f4e627c28d67aba0af8df51ab84209d0cdc99b00a5974e9f6f45e865c1a","Satchels"
"8eed1ebcdb88ce0d8f397d8d1fba5de0e224a2294ce1b1ed1e5d04b771d30d4b","Satchels"
"20e17b8b2f9d71804192111f3bc7cc7117f36a5ebfdb0c309fb5886fbcb47cf3","Wallets"
"4fdd4c60b532053452217587f014b86e6c4dabd531552d75f3d6de7784f52eff","Purses"
"e8cee956c334047056a8820065cd5c1d2575a3285a2b09ff237752882932eafd","Watches"
"8d0eb06f13e26fa3fb1c5f1d7945d544659ad312ebf35f55e0ceb74573468775","Wallets"
"b96c858a8206db09ab13066ee53f24892d2c72b8db7fc0f66db09057e6879d8c","Wallets"
"2d945909f4fc18d5f124d1b88e5ee661e1b7e9e9dbcd106a61a40053609b7a93","Watches"
"4a95e65a45fbb0174634d5568c8e4e25db629cc3c30bfb3a7c5da27826db531e","Watches"
"fbbeb4a38beb0a28adc7d26eb8c83868ee1302cbc696fa34213ee4227854fcfd","Satchels"
"c5d8f8c5a67e3062474f266ba5ad233ce192d789a4ddf666afc29f4ab1367b65","Purses"
"f39abbf2ea544d4e2f11b1e746e53f723795b33c96ee32cd2fb5348bac94932f","Satchels"
"c37266ad7483e9f65391fcd78fe992c04ced3075810bae323f21ae5c208363a6","Satchels"
"48bac4da7e7416ffaee70b5a07b71790e02ac782aa05257735d0398b298c9e62","Watches"
"3de048e2cf755e88edf8faa097a1461e70f4ea1c053d06d8ca3600993727d07e","Purses"
"7bd12e173944a4c9649700ab31fa95976480d9ba688b4d60c193882993f2ee92","Purses"
"cae3fb08f049c397a0a6aba8e2f94dfaf24687bd8a05001a47367fbc5036e53b","Purses"
"d2e616c475b513052dec9830e282c3432fe179f99fa6afc6eb943d08af931bc4","Wallets"
"4ac05dacb62fcc8e8674f217e8c29390c2802970748ae5ec7a7b9e385de06c5d","Purses"
"38f304423ea50739aff8e67b486ec722aec07777c9a2e25a6cb9e9163dec78a7","Purses"
"afc009e0e9246fd84bc9d71521adccae01bbc7d52634207732396c2fe4953806","Watches"
